1	Dresses
2	Tops & Tees
3	Sweaters
4	Hoodies & Sweatshirts
5	Jeans
6	Pants
7	Skirts
8	Shorts
9	Leggings
10	Swimsuits & Cover Ups
11	Lingerie Sleep & Lounge
12	Jumpsuits Rompers & Overalls
13	Coats Jackets & Vests
14	Suiting & Blazers
15	Socks & Hosiery
16	Shoes
17	Jewelry
18	Watches
19	Bags & Wallets
20	Belts
21	Shirts
22	Hoodies & Sweatshirts
23	Sweaters
24	Jackets & Coats
25	Jeans
26	Pants
27	Shorts
28	Swim
29	Suits & Sport Coats
30	Underwear
31	Socks
32	Shoes
33	Jewelry
34	Watches
35	Accessories
36	Sunglasses
37	Belts
38	Sunglasses
39	Accessories
40	Woman
41	Man
